epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
24,13681.2,1.18156,0.66245,1.37484,0.42067,0.37779,0.36851,0.17934,2.12755,2.01317,1.73392,0.000453652,0.000453652,0.000453652
25,2260.2,1.02245,0.5966,1.27607,0.46717,0.40165,0.39894,0.17946,2.12309,2.16599,1.80915,0.000437158,0.000437158,0.000437158
26,5093.05,1.00704,0.58572,1.27754,0.45299,0.37324,0.37515,0.1751,2.17686,2.30564,1.80703,0.000420665,0.000420665,0.000420665
27,7192.35,1.01349,0.59082,1.27129,0.41071,0.4013,0.36776,0.17266,2.05237,2.09841,1.74001,0.000404172,0.000404172,0.000404172
28,22614,0.99007,0.57272,1.25646,0.4483,0.38141,0.37865,0.17689,2.07606,2.15053,1.75674,0.000387678,0.000387678,0.000387678
29,25003,1.08269,0.60549,1.31326,0.41267,0.37666,0.36283,0.17485,2.11478,2.10477,1.76316,0.000371185,0.000371185,0.000371185
30,27196.5,1.14018,0.63355,1.34678,0.4196,0.40401,0.38166,0.17904,2.12362,2.50094,1.75879,0.000354691,0.000354691,0.000354691
31,29476.2,1.14071,0.62269,1.34317,0.43462,0.38356,0.36648,0.16883,2.20486,1.97325,1.79935,0.000338198,0.000338198,0.000338198
32,31920.4,1.11264,0.62129,1.33033,0.3574,0.39596,0.32773,0.15351,2.14565,2.11422,1.75692,0.000321705,0.000321705,0.000321705
33,3489.44,0.9698,0.55649,1.24428,0.43555,0.38596,0.38348,0.18001,2.13634,1.98635,1.79592,0.000305211,0.000305211,0.000305211
34,5836.3,0.95406,0.54116,1.24301,0.42702,0.40019,0.38106,0.18401,2.11756,2.031,1.78965,0.000288718,0.000288718,0.000288718
35,8146.11,0.9468,0.53975,1.23002,0.43204,0.36921,0.37689,0.17577,2.09836,2.18079,1.78565,0.000272224,0.000272224,0.000272224
36,3871.72,0.89331,0.51516,1.1996,0.44116,0.39459,0.3875,0.18015,2.13929,2.15156,1.81425,0.000255731,0.000255731,0.000255731
37,7952.4,0.86686,0.49873,1.19418,0.43327,0.40406,0.39617,0.18438,2.08171,2.1789,1.80008,0.000239238,0.000239238,0.000239238
38,10923.9,0.86907,0.49846,1.18609,0.43911,0.39384,0.38131,0.17266,2.1395,2.23679,1.82696,0.000222744,0.000222744,0.000222744
39,13268.8,0.92668,0.52192,1.21648,0.44626,0.37112,0.37015,0.17644,2.1628,2.24272,1.82775,0.000206251,0.000206251,0.000206251
40,15683.5,0.98977,0.54337,1.25779,0.46789,0.39168,0.3869,0.1804,2.1568,2.32078,1.84388,0.000189757,0.000189757,0.000189757
41,18096.1,1.09215,0.49937,1.39871,0.43836,0.40262,0.38522,0.17193,2.17427,2.16793,1.80101,0.000173264,0.000173264,0.000173264
42,75801.1,1.06615,0.48669,1.38054,0.47694,0.40712,0.40673,0.18481,2.18034,2.05708,1.80111,0.000156771,0.000156771,0.000156771
43,78028.2,1.05732,0.48167,1.38577,0.48184,0.4121,0.41334,0.18875,2.11757,2.17485,1.77584,0.000140277,0.000140277,0.000140277
44,80210.9,1.05133,0.47581,1.37079,0.46602,0.40436,0.40514,0.18619,2.16022,2.30504,1.81313,0.000123784,0.000123784,0.000123784
45,85189.6,1.03887,0.47392,1.36235,0.4677,0.40923,0.40497,0.18777,2.10321,2.05512,1.75684,0.00010729,0.00010729,0.00010729
46,88775.6,1.02348,0.46764,1.35963,0.45513,0.40504,0.40429,0.18445,2.12667,2.2394,1.77608,9.0797e-05,9.0797e-05,9.0797e-05
47,112218,1.02544,0.46765,1.35508,0.46283,0.39633,0.40664,0.1866,2.08897,2.1406,1.73884,7.43036e-05,7.43036e-05,7.43036e-05
48,114498,1.01124,0.46151,1.34234,0.47182,0.38659,0.39738,0.18427,2.11486,2.16079,1.75016,5.78102e-05,5.78102e-05,5.78102e-05
49,116881,1.01258,0.46161,1.34267,0.47644,0.38962,0.40081,0.18526,2.12475,2.12345,1.76175,4.13168e-05,4.13168e-05,4.13168e-05
50,119317,1.00327,0.46001,1.34194,0.48907,0.39949,0.4095,0.19063,2.10497,2.12045,1.74783,2.48234e-05,2.48234e-05,2.48234e-05
